,price(L)
2032,42.5
3107,57.48
2298,1800.0
813,234.0
1914,14.53
3086,1650.0
3600,18.3
1804,13.96
2646,32.94
250,180.0
545,67.79
738,78.16
310,64.0
1131,81.05
1449,22.5
3544,56.0
15,82.24
3207,31.0
2567,32.94
2941,25.05
363,172.0
182,58.5
1194,26.62
2487,30.0
1121,112.0
1182,78.0
2684,14.39
614,73.93
1466,179.0
401,53.56
934,400.0
2417,66.5
3535,20.42
726,108.0
826,349.0
1521,113.0
136,160.0
628,110.0
334,59.0
390,135.0
3039,55.18
1817,13.45
3287,46.72
710,183.0
1039,150.0
3268,128.0
3158,33.0
1561,93.26
3361,55.0
3522,26.32
1112,55.0
1223,125.0
2439,5.0
1508,117.0
1750,16.56
3273,113.0
338,56.0
215,17.69
1341,17.59
3106,57.48
3421,600.0
2367,21.71
2274,71.53
2665,17.76
101,260.0
2626,25.0
171,284.0
107,60.0
3252,74.76
3642,58.0
2686,15.19
2442,22.0
2654,14.93
2484,16.0
2553,4.5
2881,40.0
2844,275.0
3133,21.6
1040,584.0
2120,50.83
1524,91.3
3116,57.48
2248,62.38
481,186.0
2600,20.92
3053,57.48
1762,24.56
2978,16.0
3653,95.0
2528,11.32
2498,48.4
405,60.27
757,156.0
2390,18.79
97,121.0
1333,6.75
3624,18.29
3377,50.0
2403,29.0
2058,14.55
3091,53.48
148,42.37
28,58.03
2500,76.74
2406,29.0
692,77.97
1386,111.0
1845,20.2
2503,66.74
1599,250.0
701,108.0
1708,71.28
454,80.0
2040,6.58
3583,420.0
609,75.0
167,210.0
730,92.67
2632,6.0
3379,55.0
2424,25.22
1622,32.4
587,100.0
1401,113.0
1700,76.65
2668,21.28
2877,26.84
1379,641.0
2089,188.0
2175,149.0
3515,165.0
2490,58.0
2963,13.69
441,208.0
2051,13.58
1301,26.53
3090,55.18
1304,23.7
236,12.49
520,63.98
735,115.0
3233,33.6
2106,76.8
592,85.17
1303,25.5
1387,99.28
2375,35.69
2714,120.0
3401,125.0
904,185.0
3095,57.48
1279,42.0
3355,70.0
3509,575.0
2308,136.0
2902,110.0
2996,50.29
2895,78.0
706,293.0
3218,56.0
745,136.0
1939,24.9
2398,44.0
513,18.76
81,171.0
1308,86.07
3031,54.05
914,24.0
3366,65.1
3350,17.45
774,141.0
329,200.0
2054,11.65
2001,72.0
943,84.0
822,1084.0
909,26.4
181,40.5
164,68.0
1523,113.0
451,70.0
1311,61.0
1111,111.0
3028,160.0
1287,94.0
327,40.8
1790,16.6
3235,22.95
2007,144.0
1858,91.56
312,75.0
832,2255.0
1201,576.0
2813,80.0
2649,25.17
2134,68.99
2209,80.97
2822,155.0
1481,86.07
777,128.0
799,23.09
54,57.83
1920,11.39
3145,20.7
2627,16.7
1701,65.3
2161,112.0
3423,190.0
987,86.05
2624,119.0
1394,112.0
768,138.0
3232,32.4
285,39.6
3213,27.0
428,22.5
2332,110.0
2079,22.31
722,51.66
951,195.0
2262,75.63
989,107.0
3406,95.0
2473,16.5
326,43.2
1383,98.25
1724,65.0
1086,108.0
341,79.99
147,41.9
2843,25.0
1107,264.0
848,97.0
966,153.0
2993,55.18
2203,111.0
661,120.0
1002,78.58
2845,47.99
3061,240.0
3405,160.0
3301,26.93
1879,20.04
3436,95.0
1203,39.0
1990,17.38
24,166.0
3428,270.0
2548,33.06
3478,10.0
2798,21.61
875,87.0
3282,17.16
938,90.28
2394,36.79
3047,176.0
3623,46.2
385,100.0
2792,38.41
3048,298.0
3442,3.0
2291,84.56
2545,23.27
936,90.28
3139,33.6
2360,341.0
3564,34.0
1332,5.4
1934,124.0
935,81.37
2418,38.0
566,65.0
1854,25.99
2946,33.3
2467,30.25
1645,63.78
2585,35.27
1792,14.56
1430,22.0
2820,150.0
1013,76.26
1928,34.56
2741,65.0
126,78.0
2629,2.5
1347,14.02
355,64.38
827,267.0
1639,31.52
984,118.0
2188,722.0
3102,57.48
2443,44.0
362,190.0
2349,53.4
345,33.39
2510,37.37
3093,57.48
711,408.0
2513,31.07
10,104.0
2935,27.99
2116,250.0
1834,158.0
793,24.19
3371,36.0
94,108.0
129,90.0
2371,29.99
2727,56.0
3541,60.0
2263,86.52
1900,56.0
2671,11.75
3364,18.0
1932,91.99
2991,55.18
1865,22.79
1658,63.8
516,66.95
1857,71.23
2243,78.65
1277,55.0
3526,26.46
950,101.0
1120,100.0
2204,68.73
419,264.0
922,65.34
2683,14.63
477,107.0
2035,14.51
2656,54.0
1692,4.1
2697,14.15
1471,64.56
1202,91.59
2438,10.8
1669,21.31
3628,19.21
1970,15.63
2151,160.0
820,128.0
1997,20.23
3497,49.0
1248,60.0
2679,15.51
3241,24.69
2190,94.33
3484,69.0
1046,76.71
1888,240.0
2469,10.27
615,89.23
1318,227.0
3517,605.0
3554,290.0
3568,26.58
2136,55.19
2988,51.36
1772,11.53
3598,150.0
131,265.0
77,154.0
2052,11.65
724,260.0
1314,55.0
1851,43.99
3561,45.0
2794,17.0
3020,160.0
1372,138.0
1855,165.0
1319,143.0
2560,22.54
3504,93.7
2647,8.32
375,71.07
1908,11.32
333,105.0
2746,92.01
2800,101.0
2365,27.0
1604,38.0
1118,275.0
3451,64.0
1943,27.0
2832,82.0
2376,31.07
3066,160.0
1342,18.03
320,84.38
1619,62.33
2970,33.3
2060,31.58
2219,92.7
1673,28.99
1942,23.62
260,100.0
2858,54.0
2039,156.0
689,147.0
901,60.39
2306,53.55
2026,14.52
138,130.0
1917,97.96
1828,75.38
1573,66.59
319,77.0
653,89.75
2137,75.9
2821,145.0
558,73.29
2187,722.0
112,38.0
531,249.00000000000003
224,16.45
723,48.93
2949,22.0
3127,25.09
1433,22.0
2373,27.99
2891,75.0
2913,116.0
1458,62.0
3290,35.0
846,181.0
193,300.0
1464,383.0
2621,287.0
946,98.28
2021,4.83
2551,17.0
1629,60.8
117,590.0
645,89.75
1870,58.56
3,60.48
74,113.0
1755,231.0
467,71.11
5,124.0
1246,131.0
919,26.0
2595,12.49
228,29.99
1063,85.9
2590,25.22
242,107.0
2775,17.68
1160,160.0
3058,160.0
2722,10.0
2563,48.36
1526,141.0
1605,38.0
3397,60.0
3631,28.99
2828,150.0
3096,736.0
1989,17.11
2856,15.5
2362,26.96
1975,10.82
1761,31.08
1305,129.0
1541,22.0
3644,49.0
2472,9.99
2642,48.36
622,33.39
2812,90.0
1493,24.0
110,135.0
2275,80.96
2759,37.5
1169,83.2
2989,51.36
232,24.99
66,108.0
3297,14.38
2072,31.24
2192,94.33
536,132.0
125,28.0
2133,78.19
1254,150.0
3018,54.05
1976,16.37
2990,51.75
2826,150.0
2075,18.23
484,225.0
1654,230.0
3260,25.05
2760,83.98
2922,13.19
1774,13.46
2410,26.0
918,24.0
1646,66.98
1026,85.64
1030,85.99
882,341.0
1335,32.0
2707,32.5
364,374.0
2125,56.24
27,64.24
473,111.0
525,86.62
725,77.0
55,53.9
638,91.59
302,20.13
3177,20.04
1276,67.0
3209,28.0
624,36.59
2055,15.68
1280,144.0
1049,79.41
336,130.0
47,78.41
106,260.0
2397,25.99
1079,94.21
2286,78.5
2261,56.48
1144,64.96
3223,25.36
2296,1800.0
1836,55.18
1753,25.2
1101,510.0
1968,15.82
2766,22.78
3344,17.88
523,54.98
2280,64.53
2692,17.11
1428,22.0
2581,34.15
3176,21.0
603,311.0
1489,1250.0
2855,15.5
2966,10.0
60,79.75
3351,23.45
671,195.0
92,131.0
666,181.0
1887,240.0
280,403.0
1719,764.0
359,77.36
899,37.66
1935,36.0
1994,18.39
2907,78.04
760,130.0
2158,133.0
3193,15.67
42,134.0
2173,142.0
204,32.49
1473,150.0
2100,55.2
2593,5.0
68,123.0
1875,25.05
2893,69.0
2231,56.64
137,160.0
796,30.79
2180,51.55
2128,500.0
758,155.0
541,98.32
1019,96.85
2788,4.0
165,650.0
248,54.28
1331,25.0
2017,47.53
446,49.0
2482,32.0
1358,225.0
2145,52.29
1329,26.25
2785,37.84
3619,12.4
2150,160.0
434,109.0
2122,58.93
577,58.0
2906,121.0
3343,11.56
2448,28.8
1848,20.25
762,121.0
388,121.0
235,17.99
3659,67.0
1984,17.47
267,77.35
770,500.0
2165,135.0
437,123.0
673,135.0
249,52.42
2201,74.25
1574,180.0
2142,50.77
2081,14.95
3188,16.19
3125,31.0
3341,23.48
448,228.0
1469,319.0
716,91.94
2915,80.28
3592,145.0
2048,17.81
1901,290.0
3036,50.29
1168,135.0
82,190.0
2943,22.0
2724,14.72
1460,80.4
2818,84.0
1893,12.05
1668,19.42
2756,27.45
2000,288.0
475,148.0
517,19.57
404,66.84
384,36.0
2954,8.0
2152,160.0
1633,70.24
3487,120.0
688,208.0
3035,165.0
1240,150.0
62,67.76
852,88.37
3353,130.0
3010,160.0
1262,14.39
223,19.99
2193,57.57
373,363.0
1824,34.98
3084,56.0
3584,200.0
3161,22.0
3270,171.0
9,108.0
2497,31.05
1944,21.33
1838,76.78
708,237.0
255,111.0
1617,28.01
389,122.0
1581,20.99
924,170.0
3382,45.98
3608,16.37
2508,42.27
2036,14.55
2920,32.0
1224,23.37
2549,7.49
1946,18.39
739,121.0
40,70.67
868,40.0
2779,30.15
539,120.0
2745,59.8
3052,57.48
2723,36.0
1371,39.99
1145,62.93
1031,94.99
372,63.75
667,133.0
357,59.86
967,132.0
2831,83.0
2783,9.0
1353,160.0
1035,88.2
470,102.0
3154,22.8
1396,103.0
3322,9.75
1549,133.0
1256,39.0
2094,132.0
1555,55.0
3148,25.05
1250,107.0
1699,55.0
1252,104.0
3373,46.0
3393,70.0
79,187.0
1172,39.0
814,632.0
1852,24.43
2220,150.0
2719,159.0
3200,85.44
2105,55.2
133,129.0
1140,1400.0
933,300.0
928,230.0
823,2444.0
1531,124.0
1214,89.6
504,54.37
3615,15.93
2395,27.59
1996,16.55
2434,21.89
1958,15.54
1384,113.0
894,237.0
828,318.0
3558,200.0
2523,31.95
1683,184.0
3132,22.05
3543,60.0
3056,160.0
652,89.75
172,250.0
38,974.0
3489,79.0
713,158.0
90,90.72
3601,29.4
1205,280.0
2923,19.99
3007,160.0
3144,23.0
1827,76.8
1155,37.8
1324,25.0
216,74.97
510,19.18
1680,165.0
499,116.0
3013,54.05
1856,625.0
1388,81.37
1519,75.79
2386,14.83
3316,34.03
2076,15.62
1540,28.27
1217,222.00000000000003
2681,12.7
3493,59.0
1416,89.4
2217,50.85
3063,160.0
1676,26.96
1197,31.92
1542,28.0
2960,25.05
2539,28.6
953,91.3
2635,11.0
750,94.03
2705,21.0
234,15.46
732,79.63
3649,190.0
1156,176.0
3131,21.09
2445,27.0
2982,53.48
1209,985.0
1065,61.26
2156,160.0
1062,302.0
2616,47.99
1167,850.0
1492,1350.0
2938,40.69
2995,55.93
3008,160.0
884,803.9999999999999
143,41.9
3587,120.0
850,195.0
2782,13.46
717,93.03
3466,64.0
2502,59.99
264,80.6
75,113.0
2492,55.44
395,59.25
3097,57.48
2224,582.0
3413,525.0
396,56.0
1365,170.0
3257,30.06
1903,52.63
595,106.0
2109,76.8
1296,99.0
1821,41.8
872,36.5
3467,8.4
3548,160.0
2326,54.6
1548,215.0
36,114.0
2710,506.0
3575,36.8
2143,71.25
3214,36.0
977,160.0
1571,8.25
1122,94.4
2786,26.0
2239,30.25
2967,45.0
2504,40.87
1892,27.6
675,178.0
2808,150.0
728,121.0
412,57.42
1516,28.96
1649,63.78
825,2388.0
616,84.38
114,260.0
417,139.0
1625,14.96
3017,54.05
2652,13.62
3582,120.0
89,101.0
2896,120.0
3187,14.84
2082,13.84
753,113.0
2546,18.44
1630,44.32
11,66.82
2444,62.7
284,36.0
1066,269.0
1191,340.0
1440,185.0
3418,75.0
3416,239.0
2738,20.88
3300,45.33
1568,54.45
2427,17.36
2737,12.0
3135,25.05
1687,80.0
851,219.0
2207,88.17
895,337.0
496,171.0
2305,57.48
1782,15.4
335,49.0
2839,80.0
515,18.33
1348,200.0
1015,140.0
2816,86.0
3426,105.0
3420,228.0
2809,150.0
3129,25.36
1781,16.32
2569,598.0
1785,13.96
2070,15.48
356,76.17
3479,45.0
1312,26.48
1635,57.6
550,45.0
2388,13.64
2479,22.0
2521,23.7
2265,95.63
2959,45.0
1227,115.0
3265,28.38
3059,160.0
957,68.13
1773,125.0
2141,66.21
1008,81.64
1092,510.0
3256,59.94
2744,59.8
996,88.84
1679,28.99
153,666.0
3395,58.0
2908,122.0
2837,83.0
580,35.0
1470,99.98
703,152.0
1212,155.0
896,95.63
487,171.0
559,67.62
1141,39.6
1119,71.17
2849,64.0
512,18.97
633,75.0
3143,17.0
1664,16.0
1012,190.0
1931,80.0
1150,97.25
2838,95.0
3422,143.0
116,135.0
740,111.0
3369,48.0
1974,20.23
1081,142.0
1810,13.51
830,1535.0
119,260.0
656,89.75
3329,18.35
3278,164.0
3571,27.0
635,154.0
369,63.0
268,1200.0
2703,19.99
2983,54.05
2870,18.75
2914,109.0
46,60.76
3386,47.98
991,106.0
876,90.0
773,147.0
1219,178.0
1126,255.0
4,113.0
3051,57.48
1595,51.57
3124,42.72
2311,153.0
3040,166.0
3502,485.0
2491,55.0
3050,57.48
1077,79.82
837,1317.0
681,260.0
1715,76.3
2352,7.19
2617,25.19
2361,18.0
2197,98.32
1148,37.8
574,160.0
50,76.93
853,88.92
1982,10.85
2774,19.38
1823,40.0
833,806.0
1115,276.0
1166,404.0
2518,18.14
1906,11.63
971,63.37
2701,47.99
399,50.75
2559,24.92
2368,399.0
19,106.0
684,697.0
35,118.0
2950,12.99
3452,53.44
2875,27.81
524,86.62
2455,16.32
920,103.0
1841,39.99
1890,240.0
537,166.0
2806,75.0
1705,76.52
3570,45.0
3110,57.48
245,87.29
3175,42.0
784,16.49
1409,135.0
2537,18.22
154,719.0
3009,160.0
1686,76.5
2901,85.78
625,129.0
2733,8.0
3506,137.0
1346,12.74
569,56.5
3572,41.2
1758,23.1
1816,16.84
2065,16.47
127,42.0
3630,28.99
2006,46.51
2975,21.28
980,150.0
3626,16.49
190,66.0
1139,79.58
992,103.0
699,530.0
3330,19.84
606,237.0
180,67.5
301,31.5
2544,26.91
3387,45.98
1060,61.33
3439,150.0
3508,140.0
2565,46.0
1069,137.0
2524,31.2
2205,121.0
1243,185.0
3243,39.99
16,227.0
3120,48.0
3633,19.21
546,74.41
658,89.75
3293,17.53
3067,160.0
3336,39.99
1504,60.9
959,115.0
2926,21.0
2331,68.95
797,30.79
225,12.49
2074,19.64
1799,12.65
2485,16.0
3611,16.55
2277,81.6
2085,158.0
1693,4.08
2797,54.0
1045,84.28
469,209.0
954,162.0
3629,28.99
2735,15.67
3514,400.0
639,66.0
3390,48.74
1218,124.0
1158,37.8
1415,130.0
3305,37.77
1527,98.53
3560,42.0
1300,34.5
3495,50.0
2848,102.0
1603,48.0
160,9.31
1704,76.51
956,107.0
3234,21.6
2869,19.66
3552,194.0
877,65.0
1919,20.99
2961,39.6
1884,36.0
2200,157.0
98,451.0
3449,57.6
2557,15.67
3183,27.5
3298,14.02
253,112.0
103,70.0
1445,23.39
1443,220.00000000000003
1648,82.98
586,100.0
627,73.99
1696,17.32
3191,15.67
2101,76.8
2199,769.0
403,66.35
1154,68.87
2255,62.8
2863,16.58
1682,500.0
3170,27.0
3424,145.0
2056,18.6
3062,160.0
3470,48.0
3108,57.48
452,69.0
2301,79.73
1327,20.0
2944,74.76
2049,16.84
880,327.0
3555,185.0
623,59.99
2393,17.83
3381,47.98
1787,13.56
262,84.17
1634,60.0
1438,227.0
2198,769.0
1969,14.53
2520,45.0
1802,13.84
640,78.0
3643,56.0
2385,11.84
2598,20.12
3453,28.0
1959,13.79
2976,32.0
488,161.0
1843,25.99
1734,89.0
2911,92.74
3219,108.0
146,41.9
1534,67.75
1986,16.37
1369,39.99
2450,25.92
3578,25.0
3002,54.05
2811,95.0
659,137.0
1794,13.56
2511,35.69
186,40.95
1147,70.18
3272,31.16
608,337.0
2191,57.57
2799,9.6
1930,23.86
3029,160.0
197,400.0
2931,25.05
2327,67.0
293,28.8
766,84.0
400,66.11
122,72.0
3255,25.05
202,23.78
835,744.0
2294,210.0
1439,936.0
1733,63.0
1695,14.79
3567,27.58
1707,89.6
3550,75.0
1153,55.0
1661,21.99
2432,23.92
3431,270.0
1759,16.38
854,48.6
1589,44.99
2267,76.3
641,63.0
1,85.8
2160,112.0
698,130.0
3579,42.0
2999,55.0
1636,50.56
3184,26.87
1291,99.37
3483,70.0
2489,46.0
1520,88.0
1853,17.1
1136,85.71
3304,210.0
3534,14.44
1631,37.28
1998,18.39
663,236.0
683,114.0
1257,95.0
3446,3.5
317,114.0
648,89.75
1434,22.0
1479,36.5
709,337.0
3430,95.0
1282,72.0
1768,178.0
972,51.08
2675,13.19
2680,13.62
1306,129.0
1400,145.0
1408,57.72
3296,16.38
2237,52.93
3302,145.0
1496,52.2
3419,265.0
2038,75.62
1529,123.0
1663,19.31
1354,90.0
3563,42.5
3589,29.0
1643,82.98
1051,189.0
795,20.89
2693,11.75
3060,160.0
1597,63.35
2604,50.0
2729,29.0
2625,16.0
1819,13.57
3157,10.0
3314,56.67
1722,61.0
1183,58.0
2572,12.7
1059,167.0
540,38.34
3242,43.99
1678,30.3
2796,33.0
3523,19.84
2532,13.35
1757,15.0
1923,22.45
95,134.0
1020,158.0
563,92.89
3312,40.3
2790,9.1
863,60.0
1484,160.0
2939,16.19
1881,54.0
1038,79.58
206,59.97
392,54.75
2842,87.61
870,50.0
397,52.5
2814,88.0
3512,300.0
3289,38.5
1028,83.43
2690,17.59
1485,117.0
2660,15.86
960,63.52
1570,54.45
2773,13.72
1895,21.0
2731,17.25
2146,52.25
804,400.0
1751,17.54
2454,20.65
502,228.0
3119,57.48
3104,57.48
2977,16.0
779,159.0
1863,30.79
200,21.7
2182,51.55
3099,326.0
2088,162.0
3065,160.0
2278,56.23
1796,125.0
378,120.0
2336,75.79
418,75.0
1698,250.0
391,105.0
2640,31.36
1522,141.0
1162,210.0
3134,25.05
1495,35.5
2695,14.39
2027,14.52
1152,76.0
1367,738.0
2568,8.32
64,69.16
2062,27.56
1180,74.8
3112,57.48
492,171.0
379,60.0
2235,291.0
763,95.33
2264,123.0
791,32.99
1076,91.63
878,39.0
337,175.0
2767,13.26
2343,13.52
1016,102.0
1275,75.0
3533,14.53
455,78.0
3342,18.5
815,316.0
2317,144.0
995,125.0
1981,17.01
201,38.98
161,75.0
1579,90.0
2777,11.32
2449,31.68
702,126.0
1500,95.0
1129,124.0
2613,20.51
3461,53.55
1021,83.43
3073,160.0
3459,70.38
1585,21.0
1955,17.01
3152,13.19
2253,53.23
34,85.03
775,177.0
2556,15.3
3499,69.0
1478,82.0
3003,54.05
1390,131.0
2139,83.71
1363,200.0
2945,74.76
2612,20.51
3417,420.0
2824,170.0
2041,14.65
241,483.0
2061,23.84
2363,43.81
600,176.0
2435,20.44
1297,82.0
2214,60.3
2888,75.0
2068,19.45
646,63.0
3556,142.0
3202,85.44
1528,83.0
2879,31.25
1267,231.0
1899,15.24
562,86.05
3614,18.75
2734,16.0
3005,160.0
189,62.0
1806,13.85
975,167.0
2747,38.41
3547,65.0
2047,6.5
2558,79.0
1082,115.0
474,101.0
2904,73.35
747,94.1
2300,81.72
21,100.0
3385,48.98
459,95.12
1184,74.8
2324,75.4
955,156.0
1215,80.5
2433,26.1
2853,48.0
3485,130.0
1515,14.04
2391,20.51
769,93.33
3380,34.82
1685,27.0
130,18.0
2919,90.85
3171,17.0
3444,13.0
2135,68.96
1482,158.0
330,139.0
1238,75.0
466,160.0
2169,160.0
1638,36.8
3092,57.48
1095,39.99
1130,108.0
1294,155.0
860,148.0
3507,120.0
3174,13.19
